reward
-35.0
-23.0
-44.0
-39.0
-40.0
-14.0
-30.0
-6.0
-45.0
-69.0
-55.0
-45.0
-74.0
-44.0
-54.0
-73.0
-74.0
-74.0
-60.0
-57.0
-53.0
